id	kind	count	budget	chars	jp	ko
6345	ui	1	190	92	祈りの前に食物を□にした者、\n祈りの前に身を清めなかった者、\n日々の営みのけがれをまとったまま\n祈りを捧げた者、地上の燈火によって\n「護り火」をけがした者は、\nただちに守護地を去らねばならない。	기도 전에 음식을 □한 자,\n기도 전에 몸을 정결히 하지 않은 자,\n하루하루의 더러움을 두른 채\n기도를 올린 자, 지상의 등불로\n「수호의 불」을 더럽힌 자는\n즉시 수호지를 떠나야 한다.
6346	ui	1	9	4	祈りの掟	기도의 계율
6347	dialog	1	237	114	神いに紀ついたシーカー様から、\nアゼルが使を逆したと部かされるエッジ。\n「仇み会」ザドクは、アゼルの所き巻は\nウルの男恩だと込焼する。なぜなら、\nドラゴン相前、跡気もウルのプラントで\n時代されたからだ。\n \n(大丈夫・理考セリフ直み何み知抜)\n	신의를 따른 시커 님으로부터\n아젤이 사자를 보냈다는 말을 듣는 엣지.\n「엮는 자」자독은 아젤이 휘말린 건\n우르에 대한 원한 때문이라 의심한다.\n왜냐하면 드래곤 이전에\n그 역시 우르의 플랜트에서 만들어졌기 때문이다.\n \n(임시・대사 수정 필요・미확인)\n
6348	dialog	1	35	17	神から盗んだ品を売りつけようとはな	신에게서 훔친 물건을 팔아넘기려 하다니
6349	dialog	1	35	17	神に仕える資質を認められたんですよ	신을 섬길 자질을 인정받았다더군요
6350	dialog	1	39	19	神に見捨てられて、なお祈りに来たのか？	신에게 버림받고도 기도하러 왔나?
6351	dialog	1	19	9	神の使いのくせに…	신의 사자인 주제에…
6352	slot	1	50	18	神の使いは、神の街を守るべきだろう？	신의 사자라면 신의 도시를 지켜야 하지 않나?
6353	dialog	1	17	8	神の守護、ねえ…	신의 수호, 라…
6354	dialog	1	39	19	神の守護が、それだけ偉大だということだ	신의 수호가 그만큼 위대하다는 뜻이다
6355	dialog	1	33	16	神の守護を裏切ることになるからな	신의 수호를 저버리는 셈이 되니까
6356	dialog	1	33	16	神の遣産だとか、悪魔の巣だとかな	신의 유산이라거나, 악마의 소굴이라거나
6357	dialog	1	35	17	神の領域を荒らす罰当たりってわけさ	신의 영역을 어지럽히는 천벌 받을 짓이지
6358	dialog	1	37	18	神をも恐れぬってのは、奴らのことだな	신조차 두려워하지 않는다는 게, 그놈들 얘기다
6359	dialog	1	33	16	神様に守ってもらうんじゃなくてさ	신께 지켜달라고 할 게 아니라
6360	dialog	1	39	19	神聖区じゃ、司祭の次ぐらいに偉いんだぜ	신성구에선 사제 다음으로 높다고
6361	dialog	1	37	18	神聖区に入ると、正面に倉庫があります	신성구에 들어가면 정면에 창고가 있습니다
6362	dialog	1	29	14	神聖区に入れてもらえねえんで	신성구에 못 들어가게 해서 말이야
6363	dialog	1	37	18	神聖区に雇われて、はした金稼いでも…	신성구에 고용돼서 푼돈 벌어봤자…
6364	dialog	1	37	18	神聖区のお坊ちゃんの言いそうなこった	신성구 도련님이나 할 법한 소리군
6365	dialog	1	33	16	神聖区の下働きなどしちゃいかんぞ	신성구의 잡일 따위 해선 안 돼
6366	dialog	1	37	18	神聖区の奴がいると、酒がまずくなるぜ	신성구 놈이 있으면 술맛이 떨어진다니까
6367	dialog	1	17	8	神聖区の通行証だ	신성구 통행증이다
6368	dialog	1	33	16	神聖区の連中、ケチくせえからなあ	신성구 놈들, 다들 어찌나 인색한지
6369	dialog	1	39	19	神聖区の連中は、それがわかってないのさ	신성구 놈들은 그걸 모르는 거야
6370	dialog	1	37	18	神聖区の連中は、外の世界がこわいんだ	신성구 놈들은 바깥세상이 무서운 거지
6371	ui	1	21	10	神聖区への許可証入手	신성구 허가증 입수
6372	dialog	1	39	19	神聖区入りを推薦してもらったはずだが…	신성구 입성을 추천받았을 텐데…
6373	dialog	1	37	18	神聖区民になるには、下積みがいるのさ	신성구민이 되려면 밑바닥부터 굴러야지
6374	dialog	1	37	18	神聖区民になるには、勉強も必要なのさ	신성구민이 되려면 공부도 필요하지
6375	dialog	1	29	14	神聖区民を相手に値切る気か？	신성구민을 상대로 값을 깎겠다고?
6376	ui	1	134	64	禁止区域で戦った。\nこのドラゴンも、伝説と\n同じく、敵を追う光の矢を\n武器にしている。一度に\n数十本もの光の矢を放つ\n攻撃が、特に危険だ。	금지구역에서 싸웠다.\n이 드래곤도 전설과\n마찬가지로 적을 쫓는 빛의 화살을\n무기로 쓴다. 한 번에\n수십 발의 빛의 화살을 쏘는\n공격이 특히 위험하다.
6377	dialog	1	37	18	禁止区域に、ドラゴンが出たんだってな	금지구역에 드래곤이 나타났다더군
6378	dialog	1	31	15	禁止区域に行くって…本気かい？	금지구역에 간다고… 진심이야?
