file	offset	len	text
1ST_READ	001802	11	ヲゥァェィ
1ST_READ	020D7C	9	ヲァィゥ
1ST_READ	03D68F	15	 はい いいえ
BTL_A3	0531B0	9	シャプリ
BTL_A3	057298	9	とととと
BTL_A3_2	057BE8	9	とととと
BTL_A5	05F478	9	とととと
BTL_A5_2	05F8DC	9	とととと
BTL_A5_3	0527DC	9	とととと
BTL_A7	058C18	9	とととと
BTL_A7_2	053950	9	とととと
BTL_B2	05329C	9	とととと
BTL_B5	05A0D4	9	とととと
BTL_B5_2	058C10	11	ヌリシンハ
BTL_B5_2	05E298	9	とととと
BTL_B5_3	050D4C	13	トゥプナック
BTL_B5_3	0580BC	9	とととと
BTL_B6	060B88	9	とととと
BTL_B6_2	055E0C	9	とととと
BTL_C2	05DE0C	9	とととと
BTL_C2_2	057E58	9	とととと
BTL_C2_2	05AA68	9	とととと
BTL_C4	058C80	9	とととと
BTL_C5	0554BC	9	とととと
BTL_C5_2	053164	9	とととと
BTL_C5_2	053F72	27	セメザがばG％
BTL_C8	0521C0	9	とととと
BTL_C8_2	052944	9	とととと
BTL_D2	056830	9	とととと
BTL_D2_2	0542FC	9	とととと
BTL_D4	0531FC	9	とととと
BTL_D5	0672AC	9	とととと
BTL_T0	0597AC	9	とととと
BTL_X0	06612C	9	とととと
COMMON	008A4E	9	ドラゴン
COMMON	00FD20	181	あいうえおかきくけこさしすせそたちつてとなにぬねのはひふへほまみむめもや ゆ よらりるれろわ を んぁぃぅぇぉっゃゅょ がぎぐげござじずぜぞだぢづでどばびぶべぼぱぴぷぺぽ・ー   
COMMON	00FDD5	181	アイウエオカキクケコサシスセソタチツテトナニヌネノハヒフヘホマミムメモヤ ユ ヨラリルレロワ ヲ ンァィゥェォッャュョ ガギグゲゴザジズゼゾダヂヅデドバビブベボパピプペポヴ・ー  
FLD_A7	006A41	29	(め、目が回ってしまう！！)
FLD_B5	009025	35	(…あの遣跡からのメッセージだ…)
FLD_C2	00AB39	31	引き続き第1種警戒態勢を維持！
FLD_C2	00AB63	31	引き続き第1種警戒態勢を維持！
FLD_C4	0159AD	31	(本物はこんなに大きいのか！)
FLD_C4	0440B2	43	ョコニメヴコメヴコメヴ
FLD_C8	054852	27	6けなむを「ョ
FLD_C8	054872	35	コニメヴゾビぜばょ
FLD_D5	002CE8	29	少年、エッジの心に宿りし者よ
FLD_D5	002D05	27	おまえの本当の名前を示せ…
FLD_D5	002D26	17	で間違いないか？
FLD_D5	002D37	11	間違いない
FLD_D5	002D42	9	いや違う
MENUEN	0029A8	17	クルル(上位体)
MENUEN	0029B9	152	渓谷地帯で戦った。体力を回復する力を持つ厄介な敵だ。仲間の体力も回復してしまうので、群れの中にこいつがいる時は、狙いをつけて先に倒した方がいい。
MENUEN	002AC4	9	メラコラ
MENUEN	002ACD	176	渓谷地帯で戦った。こちらを追うようにして向きを変えてくるが、回り込んで危険方向をさければ無傷で倒せる相手だ。ただし、複数いる場合は、それぞれの向きに注意する必要がある。
