id	kind	count	budget	chars	jp	ko
6442	ui	1	190	92	祈りの前に食物を□にした者、\n祈りの前に身を清めなかった者、\n日々の営みのけがれをまとったまま\n祈りを捧げた者、地上の燈火によって\n「護り火」をけがした者は、\nただちに守護地を去らねばならない。	기도 전에 음식을 □한 자,\n기도 전에 몸을 정결히 하지 않은 자,\n하루하루의 더러움을 두른 채\n기도를 올린 자,지상의 등불로\n「수호의 불」을 더럽힌 자는\n즉시 수호지를 떠나야 한다.
6443	ui	1	9	4	祈りの掟	기도의 계율
91	dialog	15	237	114	戦いに傷ついたシーカー達から、\nアゼルが姿を消したと聞かされるエッジ。\n「編み人」ザドクは、アゼルの行き先は\nウルの地下だと推測する。なぜなら、\nドラゴン同様、彼女もウルのプラントで\n創造されたからだ。\n \n(未完成・将来セリフ組み込み予定)\n	
6444	dialog	1	35	17	神から盗んだ品を売りつけようとはな	신에게서 훔친 물건을 팔아넘기려 하다니
6445	dialog	1	35	17	神に仕える資質を認められたんですよ	신을 섬길 자질을 인정받았다더군요
6446	dialog	1	39	19	神に見捨てられて、なお祈りに来たのか？	신에게 버림받고도 기도하러 왔나?
6447	dialog	1	19	9	神の使いのくせに…	신의 사자인 주제에…
6448	slot	1	50	18	神の使いは、神の街を守るべきだろう？	신의 사자라면 신의 도시를 지켜야 하지 않나?
6449	dialog	1	17	8	神の守護、ねえ…	신의 수호,라…
6450	dialog	1	39	19	神の守護が、それだけ偉大だということだ	신의 수호가 그만큼 위대하다는 뜻이다
6451	dialog	1	33	16	神の守護を裏切ることになるからな	신의 수호를 저버리는 셈이 되니까
6452	dialog	1	33	16	神の遣産だとか、悪魔の巣だとかな	신의 유산이라거나,악마의 소굴이라거나
6453	dialog	1	35	17	神の領域を荒らす罰当たりってわけさ	신의 영역을 어지럽히는 천벌 받을 짓
6454	dialog	1	37	18	神をも恐れぬってのは、奴らのことだな	신조차 두려워하지 않는다는 게,그놈들 얘기다
6455	dialog	1	33	16	神様に守ってもらうんじゃなくてさ	신께 지켜달라고 할 게 아니라
6456	dialog	1	39	19	神聖区じゃ、司祭の次ぐらいに偉いんだぜ	신성구에선 사제 다음으로 높다고
6457	dialog	1	37	18	神聖区に入ると、正面に倉庫があります	신성구에 들어가면 정면에 창고가 있습니다
6458	dialog	1	29	14	神聖区に入れてもらえねえんで	신성구에 못 들어가게 해서 말이야
6459	dialog	1	37	18	神聖区に雇われて、はした金稼いでも…	신성구에 고용돼서 푼돈 벌어봤자…
6460	dialog	1	37	18	神聖区のお坊ちゃんの言いそうなこった	신성구 도련님이나 할 법한 소리군
6461	dialog	1	33	16	神聖区の下働きなどしちゃいかんぞ	신성구의 잡일 따위 해선 안 돼
6462	dialog	1	37	18	神聖区の奴がいると、酒がまずくなるぜ	신성구 놈이 있으면 술맛이 떨어진다니까
6463	dialog	1	17	8	神聖区の通行証だ	신성구 통행증이다
6464	dialog	1	33	16	神聖区の連中、ケチくせえからなあ	신성구 놈들,다들 어찌나 인색한지
6465	dialog	1	39	19	神聖区の連中は、それがわかってないのさ	신성구 놈들은 그걸 모르는 거야
6466	dialog	1	37	18	神聖区の連中は、外の世界がこわいんだ	신성구 놈들은 바깥세상이 무서운 거지
6467	ui	1	21	10	神聖区への許可証入手	신성구 허가증 입수
6468	dialog	1	39	19	神聖区入りを推薦してもらったはずだが…	신성구 입성을 추천받았을 텐데…
6469	dialog	1	37	18	神聖区民になるには、下積みがいるのさ	신성구민이 되려면 밑바닥부터 굴러야지
6470	dialog	1	37	18	神聖区民になるには、勉強も必要なのさ	신성구민이 되려면 공부도 필요하지
6471	dialog	1	29	14	神聖区民を相手に値切る気か？	신성구민을 상대로 값을 깎겠다고?
6472	ui	1	134	64	禁止区域で戦った。\nこのドラゴンも、伝説と\n同じく、敵を追う光の矢を\n武器にしている。一度に\n数十本もの光の矢を放つ\n攻撃が、特に危険だ。	금지구역에서 싸웠다.\n이 드래곤도 전설과\n마찬가지로 적을 쫓는 빛의 화살을\n무기로 쓴다.한 번에\n수십 발의 빛의 화살을 쏘는\n공격이 특히 위험하다.
6473	dialog	1	37	18	禁止区域に、ドラゴンが出たんだってな	금지구역에 드래곤이 나타났다더군
6474	dialog	1	31	15	禁止区域に行くって…本気かい？	금지구역에 간다고… 진심이야?
6475	dialog	1	29	14	禁止区域の遣跡には気をつけな	금지구역의 유적은 조심해
6476	dialog	1	35	17	禁止区域の遣跡は、重力を操るそうだ	금지구역의 유적은 중력을 조종한다더군
6477	ui	1	15	7	禁止区域クリア	금지구역 클리어
6478	ui	1	27	13	禁止区域ボス戦(AD＃1)	금지구역 보스전(AD＃1)
6479	ui	1	33	16	禁止区域中ボス戦(クレイメン艦)	금지구역 중간보스전(클레이멘함)
6480	ui	1	15	7	禁止区域進入可	금지구역 진입
6481	movie	1	7	3	私が…	내가…
6482	dialog	1	23	11	私が、私であるために…	내가,나이기 위해서는…
6483	dialog	1	39	19	私がここまで来られたのはあなたのおかげ	내가 여기까지 온 건 당신 덕분이야
6484	movie	1	39	19	私が眠ってたベッドに、そう記されていた	내가 잠든 침대에 그리 적혀 있었다
6485	movie	1	25	12	私が船をコントロールする	내가 배를 조종하겠다
6486	movie	1	27	13	私が行って、彼とドラゴンを	내가 가서,그와 드래곤을
6487	dialog	1	39	19	私が開放区にいたことは、黙っててくれよ	내가 개방구에 있었던 건 비밀로 해줘
6488	dialog	1	17	8	私じゃダメだわ…	나로선 안 되겠어…
6489	dialog	1	37	18	私たちを完全に外敵とみなしているのよ	우리를 완전히 외적으로 보고 있는 거야
6490	dialog	1	23	11	私としても不本意だがな	나로서도 본의는 아니지만
6491	dialog	1	35	17	私に、守られる理由なんてないのに…	내가 지켜져야 할 이유 같은 건 없는데…
6492	ui	1	158	76	私にとって、いや、君にとって納得の\nできる終幕を始めよう。\nアゼルと共に塔に来るがいい。\n君たちの侵入コースを開けておく。\n \n        K．F．クレイメン	나에게,아니,너에게 납득이\n가는 종막을 시작하자.\n아젤과 함께 탑으로 오도록.\n너희들의 침입 경로는 열어 두마.\n \n        K．F．클레이멘
6493	dialog	1	33	16	私にとっては、大切なひとだったの	나에게는 소중한 사람이었어
6494	dialog	1	39	19	私に与えられた使命は、もう無意味だって	내게 주어진 사명은 이제 무의미하다니
6495	dialog	1	21	10	私に礼を言う事はない	나한테 고마워 마라
6496	dialog	1	13	6	私のせいで…	나 때문에…
6497	dialog	1	27	13	私のためだけに用意された、	오직 나만을 위해 준비된,
6498	dialog	1	37	18	私の役目は、塔の制御だけだったから…	내 역할은 탑을 제어하는 것뿐이었으니까…
6499	dialog	1	33	16	私の提案を受ける気になったかね？	내 제안을 받아들일 마음이 생겼나?
