kind	count	slot_min	bytes	chars	first	text
slot	234	19	11	5	TWN_CAMP+00BCEF	話をやめる
dialog	202		2	1	FLD_C8+01513B	)
slot	106	19	9	4	TWN_CAMP+00BC65	帝国の話
slot	104	19	13	6	TWN_CAMP+00BCD8	シーカーの話
dialog	96		19	9	TWN_ZOAH+013E2F	ジューバの店への道
slot	96	29	13	6	TWN_SEEK+0128CF	ゾアの街の話
dialog	87		7	3	TWN_CAMP+00FCF8	やめる
slot	73	19	13	6	TWN_CAMP+00BC7C	ドラゴンの話
dialog	70		2	1	FLD_B6+00AF90	る
dialog	64		19	9	TWN_ZOAH+013E64	バイマンの家への道
dialog	64		11	5	TWN_ZOAH+013E77	教会への道
dialog	64		17	8	TWN_ZOAH+013E53	機械置き場への道
dialog	64		11	5	TWN_ZOAH+013E82	通路への道
slot	64	31	9	4	TWN_ZOAH+023E6D	酒場の話
slot	64	31	11	5	TWN_ZOAH+023E4E	開放区の話
dialog	47		9	4	BTL_A3+0574BB	レーザー
slot	40	19	13	6	TWN_CAMP+00BCC1	攻性生物の話
slot	40	19	11	5	TWN_CAMP+00BC93	旧世紀の話
narration	33		25	12	TWN_SEEK+004268	(扉は閉ざされている…)
slot	33	25	11	5	TWN_CAMP+00EE6A	アゼルの話
slot	32	31	15	7	TWN_ZOAH+023EAB	「護り火」の話
slot	32	29	19	9	TWN_SEEK+0127AD	『絶対の客人』の話
slot	32	31	9	4	TWN_ZOAH+023F08	ウルの話
slot	32	29	13	6	TWN_SEEK+0128B2	ガッシュの話
slot	32	31	13	6	TWN_ZOAH+023F27	トビタマの話
dialog	32		17	8	TWN_ZOAH+013E42	パエットの居場所
slot	32	31	9	4	TWN_ZOAH+023ECA	司祭の話
slot	32	31	11	5	TWN_ZOAH+023E8C	神聖区の話
dialog	30		5	2	BTL_A3+0574C4	反撃
dialog	29		9	4	TWN_CARA+003CE9	外に出る
dialog	28		9	4	TWN_CARA+003996	中に入る
dialog	26		19	9	BTL_A3+05762B	すでに行なっている
dialog	26		23	11	BTL_A3+0574C9	アイテムのリストを表示
dialog	26		23	11	BTL_A3+057561	アイテムを持っていない
dialog	26		11	5	BTL_A3+05749C	エスケープ
dialog	26		13	6	BTL_A3+057407	クチカラボム
dialog	26		17	8	BTL_A3+057414	サンダーレーザー
dialog	26		9	4	BTL_A3+05743F	シールド
dialog	26		11	5	BTL_A3+0574B0	スタンガン
dialog	26		15	7	BTL_A3+0573F8	スタンレーザー
dialog	26		9	4	BTL_A3+057482	スピード
dialog	26		27	13	BTL_A3+05750A	ドラゴンのタイプをセレクト
dialog	26		17	8	BTL_A3+05748B	ドラゴンリキッド
dialog	26		9	4	BTL_A3+057436	バリアー
dialog	26		9	4	BTL_A3+0574A7	バルカン
dialog	26		17	8	BTL_A3+057471	バーサクアンプル
dialog	26		25	12	BTL_A3+0574E0	バーサークのリストを表示
dialog	26		25	12	BTL_A3+057578	バーサークを覚えていない
dialog	26		29	14	BTL_A3+0575DC	バーサークポイントが足りない
dialog	26		27	13	BTL_A3+057610	バーサークポイントは最大値
dialog	26		13	6	BTL_A3+057448	バーティカル
dialog	26		21	10	BTL_A3+057591	パーツを持っていない
dialog	26		23	11	BTL_A3+0575F9	ヒットポイントは最大値
dialog	26		29	14	BTL_A3+057532	ホーミングレーザーによる攻撃
dialog	26		13	6	BTL_A3+057455	ランナウェイ
dialog	26		15	7	BTL_A3+057462	リカバーグラス
dialog	26		17	8	BTL_A3+057425	リカバーレーザー
dialog	26		11	5	BTL_A3+057556	使用不可能
dialog	26		19	9	BTL_A3+05763E	攻撃する敵がいない
dialog	26		33	16	BTL_A3+0575A6	移動以外のドラゴンの行動不能状態
dialog	26		21	10	BTL_A3+0575C7	行動ゲージが足りない
dialog	26		13	6	BTL_A3+057525	銃による攻撃
dialog	26		17	8	BTL_A3+0574F9	銃のカスタマイズ
dialog	26		7	3	BTL_A3+05754F	？？？
dialog	24		3	1	FLD_A3+040CC1	き
dialog	21		4	1	FLD_A5+00F080	<01> 
dialog	20		5	2	BTL_A7_2+050FCB	機銃
dialog	18		3	1	BTL_B5+0523AE	…
slot	18	25	15	7	TWN_CAMP+00EE38	セストレンの話
slot	18	25	7	3	TWN_CAMP+00EE1F	塔の話
slot	16	29	17	8	TWN_SEEK+012756	グリグオリグの話
slot	16	29	13	6	TWN_SEEK+012804	ドローンの話
ui	15		2	1	FLAGEDIT+001371	な
narration	14		33	16	TWN_ZOAH+00CA5B	(壁をくり抜いて棚を作ってある)
dialog	14	23	17	8	FLD_A3+009F47	旧世紀の記録機械
narration	13		21	10	TWN_ZOAH+013341	(道を聞いてみよう)
dialog	13		21	10	FLD_A3+02D36B	これまでの記録をとる
dialog	13		3	1	FLD_C8+013860	よ
dialog	13		11	5	FLD_A3+02D380	記録しない
dialog	12		18	7	FLD_A3+040CE1	 <03>\nEつFねちい<03>
dialog	12		22	9	FLD_A3+040C6E	 <03>\nょっぬほたてちい<03>
dialog	12		38	17	FLD_A3+040D0A	 EつFねちい <03>\nGHEつIン！ちい<03>
dialog	12		23	11	FLD_A3+040CF3	 GHEつIン！ちいき
dialog	12		21	10	FLD_A3+040C84	 す…A。Bヴせいき
dialog	12		40	18	FLD_A3+040C99	 ょっぬほたてちい <03>\nす…A。Bヴせい<03>
narration	12		37	18	FLD_A3+02D314	(あ、ドラゴンの体力が回復してる…)
narration	12		27	13	FLD_A3+02D3F6	(こいつは後回しにしよう)
narration	12		25	12	FLD_A3+02D339	(こんな効果もあるのか)
narration	12		21	10	FLD_A3+02D38B	(なんだ…この力…)
narration	12		21	10	FLD_A3+02D3B3	(まったく違う！？)
narration	12		29	14	FLD_A3+02D3D9	(レーザーが弱いからかな…)
narration	12		19	8	FLD_A3+02D3A0	(今までの<01><01>とは)
narration	12		17	8	FLD_A3+02D3C8	(壊せない！？)
narration	12		25	12	FLD_A3+02D352	(旧世紀の記録機械だ…)
dialog	12		76	37	FLD_A3+040DAD	おLMりやRふS』あTゾUNOVむゆ\nな？『。ぇWぬあPQ。XYね！なまいさ
dialog	12		23	11	FLD_A3+040DF9	おおズせすせZ％ゲえき
dialog	12		25	11	FLD_A3+040C30	か<01><01>レぇぉぬほすておいき
dialog	12		56	27	FLD_A3+040D33	かおみ「ゲえトベー9ぜやJみんやレ\n K『？ほて！えおお
dialog	12		37	18	FLD_A3+040C49	かすヨひ「ななジあな？れジやゃゅ。お
dialog	12		29	14	FLD_A3+040CC4	かゲすダC？れジDひ)せゲお
dialog	12		66	32	FLD_A3+040D6B	こおLMやNOぼヘごノテ。3へや\n ぼヘオェカゥ9む)ヨほPQおお
slot	12	12	6	5	FLD_A3+040C08	なはるツな
slot	12	12	11	10	FLD_A3+040BD8	なはるツもはゆらツな
dialog	12		6	5	FLD_A3+040C18	なはれツな
slot	12	12	11	10	FLD_A3+040BF0	なはれツもはゆりツな
dialog	12		7	3	FLD_A3+02D44D	に設定
dialog	12		5	4	FLD_A3+040C28	はりツな
slot	12	12	10	9	FLD_A3+040BC0	はりツもはゆらツな
dialog	12		6	5	FLD_A3+040C10	めはるツな
slot	12	12	11	10	FLD_A3+040BE4	めはるツもはゆらツな
dialog	12		6	5	FLD_A3+040C20	めはれツな
slot	12	12	11	10	FLD_A3+040BFC	めはれツもはゆりツな
slot	12	12	3	2	FLD_A3+040BCC	カ…
slot	12	19	15	7	TWN_CAMP+00BC4E	クレイメンの話
dialog	12		27	13	FLD_A3+02D411	ナビゲーターの目的地を選択
dialog	12		25	12	FLD_A3+02D496	ナビゲーター使用不能地域
dialog	12		15	7	FLD_A3+02D487	ナビゲータ解除
dialog	12		25	12	FLD_A3+02D2FB	ワールドマップに移動する
dialog	12		13	6	FLD_A3+02D2EE	探索を続ける
dialog	12		18	6	FLD_A3+02D42C	現在の目的地<03><01><01><02><03>
dialog	12		14	4	FLD_A3+02D43F	目的地を<03><01><01><02><03>
dialog	12		17	8	FLD_A3+02D476	目的地候補 なし
dialog	12		17	8	FLD_A3+02D465	目的地設定 なし
dialog	12		17	8	FLD_A3+02D454	目的地設定 解除
dialog	12		3	1	FLD_B6+00B075	？
dialog	11		7	3	BTL_B6_2+053C40	………
draft	11		223	107	TWN_E006+00B20E	「護り火」の火種に触れたエッジの\n眼前に、メル=カヴァの幻が展開する。\nメル=カヴァとは、塔の上空を周回する\n巨大なバリア発生装置だった。\nこの幻から、エッジはメル=カヴァの\n場所を知る。\n \n(未完成・将来イベントで処理予定)\n
draft	11		307	148	TWN_E006+00AE7C	エッジに帝国軍を撃退させたバイマンは\nその功によって次期司祭の座につく。\nバイマンは、明日になれば「遣産」を\n見せることができるとエッジに語る。\n一方、パエットは、正体不明の男から\n預った手紙をエッジに渡す。\nそれには、「今夜、空中船のある広場で\n待つ」とだけ記されていた。\n \n(未完成・将来イベントで処理予定)\n
draft	11		189	90	TWN_E006+00A84F	エッジは、キャラバンとの住人との\n会話から「ゾア」と呼ばれる街の\n存在を知る。\n大きな街ならば、クレイメン艦隊に\n関する手がかりがつかめるかも\nしれない。\n \n(未完成・将来セリフ組み込み予定)\n
draft	11		206	99	TWN_E006+00A90C	キャラバンのリーダーに会ったエッジ。\nリーダーから、エッジが追っている帝国の\n艦隊(クレイメン艦隊)は禁止区域\n(ゲオルギウス)へと向かったのでは\nないかとの話を聞く。\n \n(未完成・将来デモイベント表示予定)\n
draft	11		194	93	TWN_E006+00B2ED	キャラバンを訪れたエッジの前に、\nガッシュの使いのシーカーが現れた。\n彼の話によると、ガッシュは\n「シーカーの里」と呼ばれる場所で\nエッジを待っているという。\n \n(未完成・将来セリフ組み込み予定)\n
draft	11		223	107	TWN_E006+00AB15	クレイメンが向かった遣跡「塔」の\n場所を知っているという男・パエット。\n彼は、塔の情報を教えるかわりに、\nゲオルギウスと呼ばれる場所から\n旧世紀の機械部品を取ってくるよう\nエッジに命じる。\n \n(未完成・将来イベントで処理予定)\n
dialog	11		13	6	1ST_READ+03D452	ゲオルギウス
draft	11		163	78	TWN_E006+00ABF4	ゲオルギウスから取ってきた部品を\nパエットに見せるエッジ。\nしかし、パエットはそれに満足せず、\n再度ゲオルギウス行きを命じる。\n \n(未完成・将来イベントで処理予定)\n
draft	11		231	111	TWN_E006+00AD95	ゾアの街に帝国軍の使者が現れ、\n街は侵略の恐怖にさらされる。\n一方エッジは、パエットの父であり\n街の実力者であるバイマンという男の\n招待を受け、閉ざされた正規住民区画\n「神聖区」への通行証を得る。\n \n(未完成・将来イベントで処理予定)\n
draft	11		151	72	TWN_E006+00B177	バイマンは、教会の聖堂の鍵を\nエッジに渡す。そこに、街の遣産である\n「『護り火』の火種」が安置されて\nいるという。\n \n(未完成・将来セリフ組み込み予定)\n
draft	11		159	76	TWN_E006+00AFAF	パエットは、正体不明の男から預った\n手紙をエッジに渡す。\nそれには、「今夜、空中船のある広場で\n待つ」とだけ記されていた。\n \n(未完成・将来セリフ組み込み予定)\n
draft	11		25	12	TWN_E006+00BDC4	人死ちの住のパーツを深る
draft	11		21	10	TWN_E006+00BDDD	会話／深彼の呼り街え
draft	11		254	122	TWN_E006+00AC97	再び戻ったエッジに、うってかわって\nなれなれしく接するパエット。\n彼は、エッジがドラゴン乗りである\nことを突き止めたのだ。\nすっかり協力的になったパエットは、\n水没した遣跡「ウル」の地下に\n塔への通路があるらしいと語る。\n \n(未完成・将来イベントで処理予定)\n
dialog	11		13	6	TWN_CARA+00943E	取り引きする
draft	11		297	143	TWN_E006+00B04E	広場ではクレイメンが待っていたが、\nエッジを助けようとしたパエットの\n乱入によって会見は中断してしまい、\nクレイメンの真意は不明のままとなる。\n次の朝、バイマンは、教会の聖堂の鍵を\nエッジに渡す。そこに、街の遣産である\n「『護り火』の火種」が安置されて\nいるという。\n \n(未完成・ムービー等で処理予定)\n
