このしごとがおわったら あいつを\n帝国へつれていってやるつもりだ。\nしょうらい あいつがえらくなっても\nおれのことであいつがバカにされたり\nはずかしいおもいしないように\n俺もあしたから日記だけじゃなく\nすこしべんきょうもしようとおもう。\n<05><05>エッジはいつか、おれのことを\nおやじとよんでくれるだろうか。	이 일이 끝나면 그 녀석을\n제국으로 데려갈 생각이다. 훗날\n그 녀석이 잘돼도 나 때문에\n무시당하지 않도록 나도 내일부터\n일기뿐 아니라 공부도 좀 해보려\n한다.<05><05>에지는 언젠가 나를\n아버지라 불러줄까.
これ以上の戦力消耗は、メッカニア\n侵攻作戦に影響を与えると判断した\n軍司令部は、第2次捕獲部隊の全滅を\nもって、シェルクーフ捕獲作戦の無期\n延期を決定。全兵力を侵攻作戦に投入\nした結果、9の月3日、メッカニア\n連邦は、正式に帝国の属領となった。	전력 소모가 메카니아 침공에 영향을 준다고 판단한 군사령부는,제2차 포획 부대 전멸을 계기로 셸쿠프 포획 작전을 무기한 연기.전 병력을 침공에 투입한 결과 9월 3일 메카니아 연방은 제국의 속령이 되었다.
しかしながら、攻性生物の知能程度は\n著しく低く、アカデミーの手によって\nその行動様式も解明されつつある。\n我が軍の兵器・部隊編成・戦術は、\nそれらの研究に基づいて考案された\nものであり、適切に運用されれば\n絶大なる効果を発揮する。	그래도 공성생물의 지능은 현저히\n낮고,아카데미가 그 행동 양식도\n해명하고 있다.우리 군의\n병기・부대 편성・전술은 그\n연구를 바탕으로 고안돼,적절히\n운용하면 큰 효과를 발휘한다.
その後、改めて追跡調査が行われたが\n予測飛行コース上にシェルクーフの\n姿はなく、ただ大規模な戦闘跡を\n無数に確認するのみであった。\nシェルクーフは、この戦闘によって\n破壊されたと思われるが、それを可能\nならしめた戦力の実体は不明である。	그 후 추적 조사가 이루어졌지만\n예측 비행 코스에 셸쿠프의\n모습은 없었고,대규모 전투\n흔적만 무수히 확인됐다.셸쿠프는\n이 전투로 파괴됐다고\n여겨지나,그것을 가능케 한\n전력의 실체는 불명이다.
その道が、神ののぞみをはずれた時、\n死せる人は、新たなからだとともに\n再び人の世に打ち捨てられる。\nよき道を歩まないかぎり、人は、\n何度でも苦難の生をつとめ、\n何度でも死の闇を味わい、\n何度でもさばきの前にさらされる。	그 길이 신의 뜻에서 벗어날\n때,죽은 자는 새 육신과 함께\n인간 세상에 버려진다.올바른\n길을 걷지 않는 한,인간은 몇\n번이고 고난을 되풀이하고,죽음의\n어둠을 맛보며,심판 앞에 서게\n된다.
だが、旧世紀においても、塔の存在を\nよしとしない者たちがいた。\n塔の創造主たちは、彼らによって塔が\n破壊されることを怖れ、世界の泉\n「ウル」の胎内から、塔の守護者たる\n最強の攻性生物を産み出した。\nそれが、ドラゴンである。	하지만 구세기에도 탑의 존재를 달가워하지 않는 자들이 있었다.탑의 창조주들은 그들에게 탑이 파괴될 것을 두려워해,세계의 샘 '우르'의 태내에서 탑의 수호자인 최강의 공성생물을 만들어냈다.그것이 드래곤이다.
ゆえに、辺境の民の無意味な反抗に\nあっても、躊躇してはならない。\n反抗は単に無知ゆえであり、帝国には\n彼らを保護する義務があるからだ。\n我が軍の戦いは侵略にあらず。目先の\n情に惑わされず、常に大義をもって\n行動することを望むものである。	그러므로 변경민의 무의미한 반항에도 망설여선 안 된다.반항은 그저 무지 탓이며,제국에는 그들을 보호할 의무가 있다.우리 군의 싸움은 침략이 아니다.눈앞의 정에 휘둘리지 말고 늘 대의를 갖고 행동하기 바란다.
クールマ型水上前線基地は、2重の\n可動防壁(それぞれ「外部防壁」\n「内部防壁」と呼称)と、その内側に\n配置された各施設から成っている。\nその中でも、最優先で防衛しなければ\nならないのが、基地の中央にある\n司令塔である。(次ページ参照)	쿨마형 수상 전선기지는 2중의\n가동 방벽(「외부 방벽」「내부\n방벽」)과 그 안쪽에 배치된 각\n시설로 이루어져 있다.그중\n최우선으로 방위해야 하는 것이\n기지 중앙의 사령탑이다.(다음\n페이지 참조)
ドラゴンの主な武器は、□腔内より\n発射される複数の雷撃である。この\n雷撃は、目標に向けて屈曲するという\n特異な性質を持っている。\nまた、個体によっては、若干の\n追尾性を備えた実体弾や、生体粒子の\n波動を放つことが確認されている。	드래곤의 주된 무기는 □강\n내에서 발사되는 다수의\n뇌격이다.이 뇌격은 목표를 향해\n굴곡하는 특이한 성질을\n가진다.또 개체에 따라 약간의\n추적성을 갖춘 실체탄이나 생체\n입자의 파동을 쏘기도 한다.
ラギの姿も、何度も変身するうちに\nすっかり変わってしまった。光の矢の\n威力も格段に上がった。まさに伝説の\nドラゴンそのものだ。\nでも、心だけは、昔のままのラギだと\n信じたい。ラギだけが、ただひとつ\n儀に残されたものだから。	라기의 모습도 몇 번이고 변신하는 사이에 완전히 변했다.빛의 화살 위력도 몰라보게 늘었다.그야말로 전설의 드래곤이다.하지만 마음만은 예전 그대로의 라기라 믿고 싶다.라기만이 내게 남은 유일한 것이니까.
