name	offset	len	text
E006.EPK	0029E6	15	【2918】まへふひは3
E011.EPK	04288C	33	ふう、どこまで【0】いてるんだろう…
E011.EPK	09D4E0	9	うわっ！
E011.EPK	0D38B0	13	…どうした？
E011.EPK	0F8EA8	21	【1】が【2】こってるんだ…
E011.EPK	11ED68	19	よし、【3】ってみよう
E011.EPK	1AB77C	13	ちくしょう！
E011.EPK	2553B0	27	へへっ！ ざまあみやがれ！
E011.EPK	3CE604	19	【5】の【6】に【7】れて！！
E011.EPK	3F00C8	21	あ…ああ、すまない！
E014.EPK	0B2524	15	こりゃあ【0】体…
E014.EPK	0D633C	27	あんたの…ドラゴンなのか？
E014.EPK	0FF464	21	【1】のってわけじゃない
E014.EPK	1148D0	39	なぜか、【5】うことは【7】いてくれるんだけど
E014.EPK	1C03E8	23	ドラゴンねえ…そうか…
E014.EPK	1F503C	39	【8】かに、こいつがあれば帝国とも【9】える…
E014.EPK	2573A8	21	帝国と【9】うだって！？
E014.EPK	299F20	33	まさか、おまえもクレイメンの！？
E014.EPK	2B39B8	19	てよ、【11】【12】いだって
E014.EPK	2E6B24	29	クレイメンのなんかじゃない、
E014.EPK	2FA530	15	【13】はシーカーだ
E014.EPK	2FA540	13	かじゃない、
E014.EPK	326BA0	25	シーカー？ 【14】【15】【16】【17】の？
E014.EPK	357BF8	25	おいおい、【11】【7】きが【18】いな
E014.EPK	3874CC	35	【13】【19】が【14】【15】【20】なら、帝国だってそうさ
E014.EPK	3CD8F0	31	あの【21】の【22】が【23】らのものだって、
E014.EPK	3FA33C	13	【25】が【26】めた？
E014.EPK	418A78	39	そのシーカーのあんたがなぜこんな【27】に？
E014.EPK	4634B0	37	【28】【29】との【30】【31】【32】【33】に【34】かってたんだが…
E014.EPK	48BFA8	35	【35】【36】をしてたら、あいつに【37】われてな
E014.EPK	4D7098	17	いや、【38】かったよ
E014.EPK	52616C	31	で、ついでといっちゃなんだが、
E014.EPK	5592E4	29	【13】をそこまで【39】んでくれないか
E014.EPK	5A189C	21	なに、そう【41】くはない
E014.EPK	5BFFE0	39	カイナスの【42】っていって、ここのすぐ【43】さ
E014.EPK	626604	21	そんなに【44】【45】するなよ
E014.EPK	66EBB4	27	【0】【11】【46】には【47】れてないんだろ
E014.EPK	6A2A98	13	力になるぜ！
E014.EPK	6DB348	35	わかった、だけどその【42】に【48】くだけだ
E014.EPK	743B24	23	【51】【52】【53】【54】がまだだったな
E014.EPK	78CAE8	17	【13】の【55】はガッシュ
E014.EPK	7AC930	39	【56】【55】は、スキアド【57】オプス【57】ガッシュって
E014.EPK	7E65B4	33	【5】うんだが…まあ、ガッシュでいい
E014.EPK	8262AC	25	こう【58】えても、この【65】りの
E014.EPK	84CC00	19	【59】【60】には【61】しいんだ
E014.EPK	882C00	29	【62】【63】のこと、攻性生物のこと、
E014.EPK	8C7260	21	【3】だって【64】えてやるぜ
E021.EPK	02CAF4	19	【0】だ！！ 【1】体！？
E021.EPK	065D50	23	…ガッシュ！ あれ！！
E021.EPK	13C854	27	くそっ、【2】【3】【4】か、【5】は！？
E021.EPK	25CB28	13	変形した！！
E021.EPK	431D84	11	…すごい…
E021.EPK	45ECEC	25	【6】【7】に【8】じた変形【9】力…か
E021.EPK	4A70B0	21	やっぱり、こいつは…
E021.EPK	4E191C	17	いや、【0】でもない
E021.EPK	504F94	21	いとこ【11】【12】に【13】ろうぜ
E021.EPK	5311B4	21	【14】【15】の【16】【17】は【18】の【19】だ
E021.EPK	5311CA	11	に【13】ろうぜ
E022.EPK	03C4F4	29	じゃあ、ここからは【0】【1】で【2】く
E022.EPK	06E028	37	おかげで、なんとか生きのびられそうだ
E022.EPK	0A7D88	37	シーカーってのは、【3】たい【4】が【5】くてな
E022.EPK	0D7390	33	【6】【7】の【8】【9】までに着かなかった【4】は
E022.EPK	0FFB1A	25	んだことにされちまうのさ
E022.EPK	1319C8	13	ああ、そうだ
E022.EPK	1319D6	13	れちまうのさ
E022.EPK	189DD8	25	そいつを【11】って【12】に【13】びな
E022.EPK	1C5CF0	29	そこにキャラバンがいるはずだ
E022.EPK	1F7B08	31	それを【14】せれば力になってくれる
E022.EPK	233CF0	37	まあ、ドラゴンを【15】して【2】ったらの【16】…
E022.EPK	27CC04	11	…だけどな
E022.EPK	29D860	29	【17】い【9】だったが、【18】【19】かったぜ
E022.EPK	2E2B28	37	また、お【20】い生きてたらどこかで【21】おう
E024.EPK	01F2F8	31	あんたもさっきの【0】らの【1】【2】か！
E024.EPK	065F74	25	ん？ そのペンダントは…
E024.EPK	0E1C80	25	なんだ、ガッシュの【1】【2】か
E024.EPK	0FEB5C	29	ワシはまたさっきの【0】らかと…
E024.EPK	13C320	13	なら【3】は【4】だ
E024.EPK	13C32E	15	きの【0】らかと…
E024.EPK	16BF20	23	とりあえず、【5】ってくれ
E024.EPK	209700	15	クレイメンか…
E024.EPK	22D8D4	15	ガッシュの【0】、
E024.EPK	248BE8	29	たまに【6】かよこしたと【7】えば、
E024.EPK	260AD6	21	ち【11】みおる…まったく
E024.EPK	2A2528	33	クレイメン…かどうかは【12】らんが、
E024.EPK	2CB594	35	それらしいのなら、3【13】ほど【15】に【16】た
E024.EPK	2F25E0	11	【17】【18】に！？
E024.EPK	306BD4	29	【19】や【20】【21】を【22】【23】していきおった
E024.EPK	349984	35	【24】が【25】【26】【27】っておるのは、そのせいだ
E024.EPK	3B32C4	17	【0】らなら、【28】へ…
E024.EPK	3C28E4	27	【29】【30】【31】【32】へ【33】かっていったよ
E024.EPK	42A980	9	この【28】に
E024.EPK	434E0C	33	【34】力の【35】が【36】き【37】れてる【38】【32】がある
E024.EPK	46B8B4	31	【39】【40】【41】の【42】【43】があるらしいんだが
E024.EPK	4A1ED0	29	【44】【45】に【46】【47】することが【49】しくて
E024.EPK	4C4218	19	帝国【50】も【51】づけない
E024.EPK	4F3C8C	9	【52】じゃ、
E024.EPK	4FAB48	39	【53】たことのない攻性生物も【54】るらしいんで
E024.EPK	52F5D4	23	【29】【30】【31】【32】と【55】ばれておる
E024.EPK	5A5214	27	…まあ、【56】っておいたって、
E024.EPK	5CC3DC	39	【0】らも攻性生物どもにやられるってことだ
E024.EPK	613D0C	23	それでも、【57】は【47】きます
E024.EPK	61E020	39	クレイメンに、せめて【58】撃でも【59】えたい…
E024.EPK	6AF0E4	21	ワシらにも【48】【60】がある
E024.EPK	6C3CF4	41	あんたをそこへ【61】れて【47】くことはできんが、
E024.EPK	6FF198	31	まあ、できる【62】りのことはしよう
E024.EPK	75639C	27	バイカにとっておきの【20】【21】を
E024.EPK	7716BC	21	売るように【63】っておく
E024.EPK	791FEC	37	【0】なら、【39】【40】【41】のことも【64】【65】は【12】ってる
E024.EPK	7D7EE4	19	【53】た【66】はともかく、
E024.EPK	7EA7C8	27	【67】【68】は【69】りになる【0】だからな
E024.EPK	83ACA4	11	ありがとう
E024.EPK	8689F8	9	【70】はいい
E024.EPK	880BC8	35	ただ、もし生きて【71】ってこられたら、
E024.EPK	8D0F28	21	【29】【30】【31】【32】で【72】った物を
E024.EPK	8F30E8	23	ワシらに売ってくれんか
E024.EPK	90AB30	21	【20】【21】や【19】が【73】りんのだ
