# ITEM.FNT — 299글리프, 자동 판독 299개 (사전 매칭)
# ?  = 사전에 없어 아직 못 읽은 글리프. 시트로 확인해 채울 것.
Ln Kn Dn 現 在 中 未 使 用 広 範 囲 手 投 爆 弾
破 壊 強 化 最 敵 目 戦 闘 逃 回 復 旧 世 紀 硬
貨 言 店 金 様 々 途 油 各 種 兵 器 甲 皮 雷 光
学 官 高 値 感 風 網 材 質 掘 削 部 品 原 石 発
所 出 爪 尻 尾 実 貴 重 磨 込 作 腕 輪 珍 類 食
植 液 肉 塊 特 殊 眼 球 運 残 骸 外 内 宝 完 全
状 治 異 常 一 定 時 間 上 昇 速 度 香 持 況 射
数 倍 程 少 弱 点 当 増 大 近 分 散 必 要 以 足
寄 地 下 遣 跡 封 印 解 鍵 姿 刻 紋 章 見 板 何
虫 赤 花 粉 飛 行 保 効 果 受 黄 存 移 能 陸 帯
図 領 通 首 飾 独 施 塔 呼 総 記 録 械 描 空 船
今 本 街 正 規 住 人 区 画 神 聖 入 証 教 会 堂
差 名 紙 署 里 場 頼 際 雇 託 笛 泌 固 辺 境 流
布 書 創 関 伝 承 終 末 軍 方 身 新 配 冊 子 前
線 基 警 対 構 造 説 験 報 告 研 掟 乗 年 日 相
情 析 狩 事 祈 守 殻 小 木 細 砕 師 音 声 収 旅
低 限 荷 = 艦 信 隊 北 長 帳 面 切 裂 刃 多 衝
反 応 気 焦 火 焼 周 波 振 秘 潜 追 貫 集 天 電
矢 放 降 注 柱 熱 召 喚 不 安 率
